city,date,actual_high,actual_low
atlanta,2010-01-01,47.0,29.0
atlanta,2010-01-02,33.8,23.0
atlanta,2010-01-03,34.0,17.6
atlanta,2010-01-04,32.0,17.0
atlanta,2010-01-05,34.0,17.0
atlanta,2010-01-06,38.0,19.0
atlanta,2010-01-07,40.0,24.0
atlanta,2010-01-08,31.0,15.8
atlanta,2010-01-09,32.0,12.2
atlanta,2010-01-10,34.0,17.0
atlanta,2010-01-11,45.0,17.6
atlanta,2010-01-12,37.0,26.0
atlanta,2010-01-13,50.0,21.0
atlanta,2010-01-14,54.0,25.0
atlanta,2010-01-15,61.0,27.0
atlanta,2010-01-16,49.0,44.0
atlanta,2010-01-17,56.0,46.0
atlanta,2010-01-18,61.0,42.0
atlanta,2010-01-19,65.0,41.0
atlanta,2010-01-20,66.0,46.0
atlanta,2010-01-21,62.6,39.2
atlanta,2010-01-22,50.0,37.4
atlanta,2010-01-23,43.0,41.0
atlanta,2010-01-24,64.4,43.0
atlanta,2010-01-25,53.1,39.2
atlanta,2010-01-26,49.0,33.8
atlanta,2010-01-27,52.0,28.0
atlanta,2010-01-28,62.1,33.8
atlanta,2010-01-29,49.0,37.0
atlanta,2010-01-30,38.0,30.2
atlanta,2010-01-31,45.0,26.0
atlanta,2010-02-01,53.6,28.9
atlanta,2010-02-02,46.4,39.0
atlanta,2010-02-03,56.0,37.0
atlanta,2010-02-04,43.0,37.0
atlanta,2010-02-05,45.0,37.0
atlanta,2010-02-06,46.4,33.0
atlanta,2010-02-07,48.0,28.9
atlanta,2010-02-08,52.0,28.0
atlanta,2010-02-09,47.0,30.0
atlanta,2010-02-10,36.0,23.0
atlanta,2010-02-11,43.0,26.0
atlanta,2010-02-12,38.0,28.4
atlanta,2010-02-13,37.4,24.0
atlanta,2010-02-14,53.1,26.0
atlanta,2010-02-15,46.0,28.0
atlanta,2010-02-16,35.1,23.0
atlanta,2010-02-17,44.6,26.6
atlanta,2010-02-18,51.8,28.0
atlanta,2010-02-19,56.0,30.2
atlanta,2010-02-20,63.0,32.0
atlanta,2010-02-21,66.0,37.4
atlanta,2010-02-22,59.0,48.0
atlanta,2010-02-23,52.0,37.4
atlanta,2010-02-24,48.0,30.0
atlanta,2010-02-25,42.8,23.0
atlanta,2010-02-26,48.0,26.0
atlanta,2010-02-27,50.0,28.0
atlanta,2010-02-28,54.0,33.8
atlanta,2010-03-01,57.2,30.0
atlanta,2010-03-02,48.2,33.8
atlanta,2010-03-03,45.0,32.0
atlanta,2010-03-04,50.0,28.4
atlanta,2010-03-05,53.1,30.0
atlanta,2010-03-06,58.0,28.9
atlanta,2010-03-07,62.1,32.0
atlanta,2010-03-08,73.0,37.9
atlanta,2010-03-09,69.1,43.0
atlanta,2010-03-10,57.0,48.0
atlanta,2010-03-11,65.0,51.8
atlanta,2010-03-12,59.0,50.0
atlanta,2010-03-13,53.1,42.8
atlanta,2010-03-14,51.8,42.8
atlanta,2010-03-15,56.0,42.8
atlanta,2010-03-16,58.0,42.0
atlanta,2010-03-17,51.1,45.0
atlanta,2010-03-18,63.0,44.6
atlanta,2010-03-19,71.1,44.0
atlanta,2010-03-20,71.1,44.0
atlanta,2010-03-21,59.0,41.0
atlanta,2010-03-22,44.1,35.6
atlanta,2010-03-23,65.0,37.0
atlanta,2010-03-24,73.0,43.0
atlanta,2010-03-25,60.8,48.9
atlanta,2010-03-26,57.2,43.0
atlanta,2010-03-27,64.4,42.8
atlanta,2010-03-28,72.0,51.0
atlanta,2010-03-29,59.0,46.0
atlanta,2010-03-30,69.1,41.0
atlanta,2010-03-31,78.1,46.0
atlanta,2010-04-01,82.0,50.0
atlanta,2010-04-02,83.0,54.0
atlanta,2010-04-03,76.0,57.0
atlanta,2010-04-04,83.0,60.8
atlanta,2010-04-05,86.0,59.0
atlanta,2010-04-06,86.0,57.2
atlanta,2010-04-07,80.1,57.9
atlanta,2010-04-08,68.0,54.0
atlanta,2010-04-09,68.0,44.0
atlanta,2010-04-10,72.0,46.0
atlanta,2010-04-11,74.0,50.0
atlanta,2010-04-12,79.0,52.0
atlanta,2010-04-13,79.0,54.0
atlanta,2010-04-14,80.6,57.0
atlanta,2010-04-15,81.0,57.0
atlanta,2010-04-16,84.0,60.0
atlanta,2010-04-17,82.0,57.9
atlanta,2010-04-18,74.0,48.9
